Urls site Jecompare.immo;Residence;Urls site Leemo;Ville;Promoteur;Loi;Date du scrap
http://www.jecompare.immo/Residence-L'Envol-Pinel-31700-Cornebarrieu.php;L'Envol;programme.php?l=Pinel&d=31&x=16142;Cornebarrieu;Crédit Foncier Immobilier;Pinel;01/17/2017 14:04:22
http://www.jecompare.immo/Residence-CHEMIN-DES-VIOUGUES-Pinel-13300-Salon-de-Provence.php;CHEMIN DES VIOUGUES;programme.php?l=Pinel&d=13&x=15627;Salon-de-Provence;Groupe Capelli;Pinel;01/17/2017 14:05:18
http://www.jecompare.immo/Residence-DIANE-Pinel-91100-Corbeil-Essonnes.php;DIANE;programme.php?l=Pinel&d=91&x=19205;Corbeil-Essonnes;Promogerim;Pinel;01/17/2017 14:06:15
http://www.jecompare.immo/Residence-LES-DOCKS-LIBRES-2-Pinel--.php;LES DOCKS LIBRES 2;programme.php?l=Pinel&d=13&x=16327;;Nexity;Pinel;01/17/2017 14:06:55
http://www.jecompare.immo/Residence-Le-Domaine-des-Fontenelles-Programme-neuf-72100-Le-Mans.php;Le Domaine des Fontenelles;programme.php?l=Droit commun&d=72&x=13358;Le Mans;European Homes;Programme neuf;01/17/2017 14:07:50
http://www.jecompare.immo/Residence-M-IM-Programme-neuf--.php;M-IM;programme.php?l=Droit commun&d=13&x=14118;;Nexity;Programme neuf;01/17/2017 14:08:20
http://www.jecompare.immo/Residence-Canal-Park-A-Pinel-14000-Caen.php;Canal Park A;programme.php?l=Pinel&d=14&x=13757;Caen;Sedelka;Pinel;01/17/2017 14:09:14
http://www.jecompare.immo/Residence-Lady-Mary-Pinel-34200-Sète.php;Lady Mary;programme.php?l=Pinel&d=34&x=19201;Sète;Promeo / Labo Immo;Pinel;01/17/2017 14:10:09
http://www.jecompare.immo/Residence-LES-TERRASSES-DE-JEANNE-Pinel-35700-Rennes.php;LES TERRASSES DE JEANNE;programme.php?l=Pinel&d=35&x=18535;Rennes;Bouygues;Pinel;01/17/2017 14:11:06
http://www.jecompare.immo/Residence-CRYSTAL-PARK-Programme-neuf--.php;CRYSTAL PARK;programme.php?l=Droit commun&d=78&x=17231;;Nexity;Programme neuf;01/17/2017 14:11:39
http://www.jecompare.immo/Residence-5-Mail-Cousteau-Pinel-91300-Massy.php;5 Mail Cousteau;programme.php?l=Pinel&d=91&x=17042;Massy;Catella Residential;Pinel;01/17/2017 14:12:35
http://www.jecompare.immo/Residence-VILLAS-PLAISANCE-Pinel--.php;VILLAS PLAISANCE;programme.php?l=Pinel&d=95&x=19351;;Cogedim;Pinel;01/17/2017 14:13:33
http://www.jecompare.immo/Residence-La-Marina-Programme-neuf--.php;La Marina;programme.php?l=Droit commun&d=34&x=15668;;Les Nouveaux Constructeurs;Programme neuf;01/17/2017 14:14:29
http://www.jecompare.immo/Residence-LES-RIVES-DE-GARLANDE-Pinel--.php;LES RIVES DE GARLANDE;programme.php?l=Pinel&d=95&x=13854;;Nexity;Pinel;01/17/2017 14:15:04
http://www.jecompare.immo/Residence-Le-Clos-de-l'Orme-Programme-neuf-77340-Pontault-Combault.php;Le Clos de l'Orme;programme.php?l=Droit commun&d=77&x=13322;Pontault-Combault;European Homes;Programme neuf;01/17/2017 14:16:04
http://www.jecompare.immo/Residence-VILLA-VENETIA-Pinel-44300-Nantes.php;VILLA VENETIA;programme.php?l=Pinel&d=44&x=18379;Nantes;Cap City / Labo Immo;Pinel;01/17/2017 14:17:02
http://www.jecompare.immo/Residence-Le-Mas-Pinel--.php;Le Mas;programme.php?l=Pinel&d=66&x=14615;;Urbat;Pinel;01/17/2017 14:17:36
http://www.jecompare.immo/Residence-NOUVELLES-TERRES-Pinel-83250-La-Londe-les-Maures.php;NOUVELLES TERRES;programme.php?l=Pinel&d=83&x=16905;La Londe-les-Maures;Nexity;Pinel;01/17/2017 14:18:43
http://www.jecompare.immo/Residence-Résidence-Villa-CARLOTTA-Pinel-31320-Castanet-Tolosan.php;Résidence Villa CARLOTTA;programme.php?l=Pinel&d=31&x=16793;Castanet-Tolosan;Fonta;Pinel;01/17/2017 14:19:44
http://www.jecompare.immo/Residence-La-Résidence-Belles-Lettres-Pinel-67200-Strasbourg.php;La Résidence Belles Lettres;programme.php?l=Pinel&d=67&x=13320;Strasbourg;European Homes;Pinel;01/17/2017 14:20:43
http://www.jecompare.immo/Residence-L'AUSTRAL-Pinel-44200-Nantes.php;L'AUSTRAL;programme.php?l=Pinel&d=44&x=15302;Nantes;Kaufman and Broad;Pinel;01/17/2017 14:21:42
http://www.jecompare.immo/Residence-LES-ALLEES-DE-LA-ROUSSIERE-Pinel--.php;LES ALLEES DE LA ROUSSIERE;programme.php?l=Pinel&d=44&x=17909;;Bouygues;Pinel;01/17/2017 14:22:16
http://www.jecompare.immo/Residence-VILLA-CARRE-GARONNE-Pinel-31200-Toulouse.php;VILLA CARRE GARONNE;programme.php?l=Pinel&d=31&x=19000;Toulouse;Saint Agne Promotion;Pinel;01/17/2017 14:23:21
http://www.jecompare.immo/Residence-ENVIE-Pinel-93170-Bagnolet.php;ENVIE;programme.php?l=Pinel&d=93&x=17846;Bagnolet;Eiffage Immobilier;Pinel;01/17/2017 14:24:26
http://www.jecompare.immo/Residence-Le-Castel-Pinel-13002-Marseille.php;Le Castel;programme.php?l=Pinel&d=13&x=16616;Marseille;Crédit Foncier Immobilier;Pinel;01/17/2017 14:25:27
http://www.jecompare.immo/Residence-IMPRESSIONS-Pinel-78430-Louveciennes.php;IMPRESSIONS;programme.php?l=Pinel&d=78&x=13179;Louveciennes;Ogic;Pinel;01/17/2017 14:26:25
http://www.jecompare.immo/Residence-HAMEAU-GUILLAUME-ONFROY---Saint-Malo-Pinel-35400-Saint-Malo.php;HAMEAU GUILLAUME ONFROY - Saint-Malo;programme.php?l=Pinel&d=35&x=13743;Saint-Malo;Seri Ouest;Pinel;01/17/2017 14:27:29
http://www.jecompare.immo/Residence-LES-JARDINS-DE-CÉLINE-Pinel-33290-Parempuyre.php;LES JARDINS DE CÉLINE;programme.php?l=Pinel&d=33&x=16575;Parempuyre;Severini;Pinel;01/18/2017 11:46:12
http://www.jecompare.immo/Residence-LE-COURS-DES-PRES-Pinel-31200-Toulouse.php;LE COURS DES PRES;programme.php?l=Pinel&d=31&x=16778;Toulouse;Green City;Pinel;01/18/2017 11:47:10
http://www.jecompare.immo/Residence-Les-Hauts-du-Parc-Pinel-44100-Nantes.php;Les Hauts du Parc;programme.php?l=Pinel&d=44&x=18308;Nantes;Cogedim;Pinel;01/18/2017 11:47:59
http://www.jecompare.immo/Residence-LE-RONSARD-Pinel-68000-Colmar.php;LE RONSARD;programme.php?l=Pinel&d=68&x=14454;Colmar;Alsace promotion;Pinel;01/18/2017 11:48:49
http://www.jecompare.immo/Residence-L'OREE-DU-BOIS-Pinel-59770-Marly.php;L'OREE DU BOIS;programme.php?l=Pinel&d=59&x=13486;Marly;Edouard Denis;Pinel;01/18/2017 11:49:44
http://www.jecompare.immo/Residence-Villa-Pompidou-Pinel-30900-Nîmes.php;Villa Pompidou;programme.php?l=Pinel&d=30&x=14575;Nîmes;Urbat;Pinel;01/18/2017 11:50:34
http://www.jecompare.immo/Residence-CANAL-EN-VUES---TR1-Programme-neuf-93130-Noisy-le-Sec.php;CANAL EN VUES - TR1;programme.php?l=Droit commun&d=93&x=19290;Noisy-le-Sec;Vinci Immobilier;Programme neuf;01/18/2017 11:51:33
http://www.jecompare.immo/Residence-GREEN-WOOD-Pinel--.php;GREEN WOOD;programme.php?l=Pinel&d=95&x=18801;;Coffim;Pinel;01/18/2017 11:52:06
http://www.jecompare.immo/Residence-COCOON-Pinel-57070-Metz.php;COCOON;programme.php?l=Pinel&d=57&x=17225;Metz;Nexity;Pinel;01/18/2017 11:52:59
http://www.jecompare.immo/Residence-L'AMARILLO-Programme-neuf-13012-Marseille.php;L'AMARILLO;programme.php?l=Droit commun&d=13&x=19349;Marseille;Bouwfonds Marignan;Programme neuf;01/18/2017 11:53:52
http://www.jecompare.immo/Residence-L'INITIALE-Pinel-31300-.php;L'INITIALE;programme.php?l=Pinel&d=31&x=19103;;Carrere;Pinel;01/18/2017 11:54:48
http://www.jecompare.immo/Residence-CONNEX'CITY-Pinel--.php;CONNEX'CITY;programme.php?l=Pinel&d=72&x=17126;;Nexity;Pinel;01/18/2017 11:55:20
http://www.jecompare.immo/Residence-La-Clé-des-Champs-Pinel-74600-Seynod.php;La Clé des Champs;programme.php?l=Pinel&d=74&x=17523;Seynod;Bouygues;Pinel;01/18/2017 11:56:09
http://www.jecompare.immo/Residence-Harmo'Nice-Pinel-06000-Nice.php;Harmo'Nice;programme.php?l=Pinel&d=06&x=18307;Nice;Cogedim;Pinel;01/18/2017 11:57:03
http://www.jecompare.immo/Residence-Canal-Park-Pinel-14000-Caen.php;Canal Park;programme.php?l=Pinel&d=14&x=13756;Caen;Sedelka;Pinel;01/18/2017 11:57:55
http://www.jecompare.immo/Residence-IntensiT-Pinel-95280-Jouy-le-Moutier.php;IntensiT;programme.php?l=Pinel&d=95&x=17747;Jouy-le-Moutier;Bouygues;Pinel;01/18/2017 11:58:51
http://www.jecompare.immo/Residence-CADENCE-Pinel-78800-Houilles.php;CADENCE;programme.php?l=Pinel&d=78&x=16324;Houilles;Nexity;Pinel;01/18/2017 11:59:46
http://www.jecompare.immo/Residence-RENAISSANCE-Pinel-49100-Angers.php;RENAISSANCE;programme.php?l=Pinel&d=49&x=17617;Angers;Bouygues;Pinel;01/18/2017 12:00:37
http://www.jecompare.immo/Residence-La-Grande-Allée-Pinel-67100-Strasbourg.php;La Grande Allée;programme.php?l=Pinel&d=67&x=18512;Strasbourg;Crédit Foncier Immobilier;Pinel;01/18/2017 12:01:29
http://www.jecompare.immo/Residence-Le-Domaine-des-Marquises-Pinel-Tournefeuille,-Tournefeuille.php;Le Domaine des Marquises;programme.php?l=Pinel&d=31&x=14767;Tournefeuille;Les Nouveaux Constructeurs;Pinel;01/18/2017 12:02:24
http://www.jecompare.immo/Residence-LE-COTTAGE-Pinel-31500-Toulouse.php;LE COTTAGE;programme.php?l=Pinel&d=31&x=15366;Toulouse;Kaufman and Broad;Pinel;01/18/2017 12:03:18
http://www.jecompare.immo/Residence-CLOS-FLORENCE-Pinel-93230-Romainville.php;CLOS FLORENCE;programme.php?l=Pinel&d=93&x=18479;Romainville;Green City;Pinel;01/18/2017 12:04:16
http://www.jecompare.immo/Residence-PLEIN-R-Pinel-51100-Reims.php;PLEIN R;programme.php?l=Pinel&d=51&x=18887;Reims;Nexity;Pinel;01/18/2017 12:05:10
http://www.jecompare.immo/Residence-UNIK-Pinel--.php;UNIK;programme.php?l=Pinel&d=94&x=15384;;Nexity;Pinel;01/18/2017 12:05:47
http://www.jecompare.immo/Residence-GRAND-CENTRAL-Pinel-94130-Nogent-sur-Marne.php;GRAND CENTRAL;programme.php?l=Pinel&d=94&x=19118;Nogent-sur-Marne;Eiffage Immobilier;Pinel;01/18/2017 12:06:47
http://www.jecompare.immo/Residence-NEOCITY-Pinel-39-Route-de-Bayonne.php;NEOCITY;programme.php?l=Pinel&d=64&x=18931;Route de Bayonne;Carrere;Pinel;01/18/2017 12:07:52
http://www.jecompare.immo/Residence-LE-RIVIERA-Pinel--.php;LE RIVIERA;programme.php?l=Pinel&d=67&x=13918;;Nexity;Pinel;01/18/2017 12:08:25
http://www.jecompare.immo/Residence-46-RIMBAUD-Programme-neuf--.php;46 RIMBAUD;programme.php?l=Droit commun&d=93&x=16957;;Crédit Agricole Immobilier;Programme neuf;01/18/2017 12:09:13
http://www.jecompare.immo/Residence-LES-TERRASSES-DE-CHAMPOMMIER-Pinel--.php;LES TERRASSES DE CHAMPOMMIER;programme.php?l=Pinel&d=79&x=19074;;Nexity;Pinel;01/18/2017 12:09:43
http://www.jecompare.immo/Residence-LA-CLEF-DES-BOIS-Pinel-76650-Petit-Couronne.php;LA CLEF DES BOIS;programme.php?l=Pinel&d=76&x=17734;Petit-Couronne;Bouygues;Pinel;01/18/2017 12:10:40
http://www.jecompare.immo/Residence-L'OPALINE-Pinel--.php;L'OPALINE;programme.php?l=Pinel&d=01&x=19516;;Bouygues;Pinel;01/18/2017 12:11:12
http://www.jecompare.immo/Residence-Les-Senioriales-de-Dijon-Pinel-21000-Dijon.php;Les Senioriales de Dijon;programme.php?l=Pinel&d=21&x=14537;Dijon;Les Senioriales;Pinel;01/18/2017 12:12:11
http://www.jecompare.immo/Residence-LE-PANORAMIK-Pinel--.php;LE PANORAMIK;programme.php?l=Pinel&d=35&x=15205;;Kaufman and Broad;Pinel;01/18/2017 12:12:47
http://www.jecompare.immo/Residence-CAP-DOMITIA-Pinel--.php;CAP DOMITIA;programme.php?l=Pinel&d=34&x=18504;;Pitch Promotion;Pinel;01/18/2017 12:13:16
http://www.jecompare.immo/Residence-CARRE-OR-Pinel--.php;CARRE OR;programme.php?l=Pinel&d=56&x=19362;;Bouygues;Pinel;01/18/2017 12:13:52
http://www.jecompare.immo/Residence-LE-TRIPTYK-Pinel-33700-Mérignac.php;LE TRIPTYK;programme.php?l=Pinel&d=33&x=18869;Mérignac;Kaufman and Broad;Pinel;01/18/2017 12:14:53
http://www.jecompare.immo/Residence-L'IMPRIMERIE-Pinel-75014-Paris.php;L'IMPRIMERIE;programme.php?l=Pinel&d=75&x=17034;Paris;Eiffage Immobilier;Pinel;01/18/2017 12:16:00
http://www.jecompare.immo/Residence-Trilogie-Pinel-92600-Asnières-sur-Seine.php;Trilogie;programme.php?l=Pinel&d=92&x=19067;Asnières-sur-Seine;Catella Residential;Pinel;01/18/2017 12:17:10
http://www.jecompare.immo/Residence-Villa-Camille-Pinel-44500-La-Baule-Escoublac.php;Villa Camille;programme.php?l=Pinel&d=44&x=18206;La Baule-Escoublac;Crédit Foncier Immobilier;Pinel;01/18/2017 12:18:11
http://www.jecompare.immo/Residence-ELEGANCE-Pinel-59700-Marcq-en-Barœul.php;ELEGANCE;programme.php?l=Pinel&d=59&x=17570;Marcq-en-Barœul;Bouygues;Pinel;01/18/2017 12:19:15
http://www.jecompare.immo/Residence-T-VERT-Pinel-69100-Villeurbanne.php;T VERT;programme.php?l=Pinel&d=69&x=14104;Villeurbanne;Nexity;Pinel;01/18/2017 12:20:20
http://www.jecompare.immo/Residence-INITIALS-Pinel--.php;INITIALS;programme.php?l=Pinel&d=92&x=16977;;Eiffage Immobilier;Pinel;01/18/2017 12:20:57
http://www.jecompare.immo/Residence-COUR-D-OE---Tours-Pinel-37000-Tours.php;COUR D OE - Tours;programme.php?l=Pinel&d=37&x=13726;Tours;Seri Ouest;Pinel;01/18/2017 12:22:20
http://www.jecompare.immo/Residence-Quai-Sud-Pinel-34500-Béziers.php;Quai Sud;programme.php?l=Pinel&d=34&x=16723;Béziers;Oceanis;Pinel;01/18/2017 12:23:20
http://www.jecompare.immo/Residence-LES-VILLAS-BELLECROIX-Pinel--.php;LES VILLAS BELLECROIX;programme.php?l=Pinel&d=22&x=14149;;Nexity;Pinel;01/18/2017 12:23:52
http://www.jecompare.immo/Residence-IMPRESSIONS---Tranche-2-Pinel-78430-Louveciennes.php;IMPRESSIONS - Tranche 2;programme.php?l=Pinel&d=78&x=14941;Louveciennes;Vinci Immobilier;Pinel;01/18/2017 12:24:59
http://www.jecompare.immo/Residence-RESIDENCE-ALBATROS-Pinel-31270-Villeneuve-Tolosane.php;RESIDENCE ALBATROS;programme.php?l=Pinel&d=31&x=16861;Villeneuve-Tolosane;Eclisse Promotion;Pinel;01/18/2017 12:25:56
http://www.jecompare.immo/Residence-KER-MALO-Pinel--.php;KER MALO;programme.php?l=Pinel&d=35&x=18497;;Bouygues;Pinel;01/18/2017 12:26:35
http://www.jecompare.immo/Residence-Clos-des-Noyers-Pinel-93300-Aubervilliers.php;Clos des Noyers;programme.php?l=Pinel&d=93&x=18534;Aubervilliers;Cogedim;Pinel;01/18/2017 12:27:37
http://www.jecompare.immo/Residence-PARC-SAINT-JEAN-Pinel-83100-Toulon.php;PARC SAINT JEAN;programme.php?l=Pinel&d=83&x=19438;Toulon;Bouwfonds Marignan;Pinel;01/18/2017 12:28:40
http://www.jecompare.immo/Residence-La-Villa-Etrusque-Pinel-34750-Villeneuve-lès-Maguelone.php;La Villa Etrusque;programme.php?l=Pinel&d=34&x=17026;Villeneuve-lès-Maguelone;Helenis;Pinel;01/18/2017 12:29:48
